rule_id,remediation_text,terraform_snippet,azure_cli_command,portal_steps,estimated_effort_hours,risk_if_not_fixed
cis_1_1,Enable MFA for all users via Security Defaults or Conditional Access policy,"# Security Defaults shortcut\nresource ""azuread_directory_setting"" ""defaults"" {\n  display_name = ""Security Defaults""\n  template_id  = ""62375ab9-6b52-47ed-826b-58e47e0e304b""\n}","az rest --method PATCH --url ""https://graph.microsoft.com/v1.0/policies/identitySecurityDefaultsEnforcementPolicy"" --body @enable-defaults.json",Entra ID > Properties > Manage Security defaults > Enabled,2,Account takeover via phishing or credential replay is trivially achievable.
cis_1_2,Enforce MFA on every account holding a privileged directory role,"resource ""azuread_conditional_access_policy"" ""admin_mfa"" {\n  display_name = ""Require MFA for admins""\n  state        = ""enabled""\n  conditions { users { included_roles = [""62e90394-69f5-4237-9190-012177145e10""] } applications { included_applications = [""All""] } }\n  grant_controls { operator = ""OR"" built_in_controls = [""mfa""] }\n}","az rest --method POST --url ""https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies"" --body @admin-mfa.json",Entra ID > Security > Conditional Access > New policy > Grant > Require MFA,3,Compromise of any admin leads to tenant-wide impact.
cis_1_3,Configure recurring access reviews for all guest users,"resource ""azuread_access_review_definition"" ""guests"" { display_name = ""Guest Review"" descriptionForAdmins = ""Quarterly guest review"" scope { query = ""/groups/{guest-group-id}/transitiveMembers"" queryType = ""MicrosoftGraph"" } }","az rest --method POST --url ""https://graph.microsoft.com/v1.0/identityGovernance/accessReviews/definitions"" --body @review.json",Entra ID > Identity Governance > Access reviews > New access review,2,Stale guest accounts accumulate and expand the attack surface.
cis_1_4,Remove custom RBAC roles that grant owner-equivalent permissions,"# No create; the fix is to remove. Use:\n# terraform state rm azurerm_role_definition.custom_owner","az role definition delete --name ""<custom-owner-role-name>""",Subscriptions > IAM > Roles > Custom > Delete,2,Custom owner roles bypass PIM and audit paths applied to built-in Owner.
cis_1_5,Apply Conditional Access requiring MFA to the subscription owner group,"resource ""azuread_conditional_access_policy"" ""owners_mfa"" { display_name = ""Owners MFA"" state = ""enabled"" conditions { users { included_groups = [var.owners_group_id] } applications { included_applications = [""797f4846-ba00-4fd7-ba43-dac1f8f63013""] } } grant_controls { operator = ""OR"" built_in_controls = [""mfa""] } }","az rest --method POST --url ""https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies"" --body @owners-mfa.json",Entra ID > Security > Conditional Access > New > Users: Owners group > Grant MFA,3,Owner compromise leads to complete loss of the subscription.
cis_1_6,Restrict guest invitation capability to admin roles,"resource ""azuread_directory_setting"" ""b2b"" { display_name = ""Group.Unified"" values { name = ""AllowInvitesFrom"" value = ""adminsAndGuestInviters"" } }","az rest --method PATCH --url ""https://graph.microsoft.com/v1.0/policies/authorizationPolicy"" --body @allow-invites.json",Entra ID > External Identities > External collaboration settings,1,Unvetted external accounts can be invited into the tenant.
cis_1_7,Delete expired service principal credentials and rotate via pipeline,"# Remediation is deletion, not creation\n# null_resource with local-exec calling az ad sp credential delete","az ad sp credential delete --id <sp-id> --key-id <cred-key-id>",Entra ID > App registrations > Select app > Certificates & secrets > Delete expired,1,Expired creds indicate rotation failure and may leak in source control.
cis_1_8,Block legacy authentication via Conditional Access policy,"resource ""azuread_conditional_access_policy"" ""block_legacy"" { display_name = ""Block Legacy Auth"" state = ""enabled"" conditions { client_app_types = [""exchangeActiveSync"", ""other""] users { included_users = [""All""] } applications { included_applications = [""All""] } } grant_controls { operator = ""OR"" built_in_controls = [""block""] } }","az rest --method POST --url ""https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies"" --body @block-legacy.json",Entra ID > Conditional Access > New > Client apps: Other + Exchange ActiveSync > Block,3,Legacy protocols bypass MFA and are the top vector for password spray.
cis_1_9,Enable end-user notification on password reset events,"# Graph: authenticationMethodsPolicy\n# Terraform support limited; use null_resource","az rest --method PATCH --url ""https://graph.microsoft.com/v1.0/policies/authenticationMethodsPolicy"" --body @auth-methods.json",Entra ID > Password reset > Notifications > Notify users on password resets: Yes,1,Users are unaware of illicit password reset attempts.
cis_1_10,Reduce subscription owner count to 3 or fewer; prefer PIM eligible,"# removal operation\n# use azurerm_role_assignment destroy","az role assignment delete --assignee <user> --role Owner --scope /subscriptions/<sub>",Subscriptions > IAM > Owners > Remove,2,Excess owners increase blast radius of credential compromise.
cis_1_11,Remove all role assignments from accounts that are disabled,"# removal operation","for id in $(az role assignment list --query ""[?principalType=='User'].id"" -o tsv); do az role assignment delete --ids $id; done",Entra ID > Users > Disabled > Assigned roles > Remove,2,Disabled accounts can be re-enabled by an attacker and retain privilege.
cis_1_12,Remove privileged roles from guest users,"# removal","az role assignment delete --assignee <guest-objectid> --role <role> --scope /subscriptions/<sub>",Entra ID > Roles and administrators > Select role > Remove guest members,2,External identities with admin rights expand the trust boundary.
cis_1_13,Create access reviews for each privileged Entra directory role,"resource ""azuread_privileged_access_group_assignment_schedule"" ""admins"" { group_id = var.group_id principal_id = var.principal_id access_id = ""member"" assignment_type = ""assigned"" }","az rest --method POST --url ""https://graph.microsoft.com/v1.0/identityGovernance/accessReviews/definitions"" --body @priv-role-review.json",Entra ID > Identity Governance > Privileged Access > Access reviews,3,Stale privileged assignments persist undetected.
cis_1_14,Convert permanent privileged role assignments to PIM eligible,"# PIM eligible assignment\nresource ""azuread_privileged_access_group_eligibility_schedule"" ""ga"" { group_id = var.group_id principal_id = var.principal_id access_id = ""member"" duration = ""P365D"" }","az rest --method POST --url ""https://graph.microsoft.com/v1.0/roleManagement/directory/roleEligibilityScheduleRequests"" --body @eligibility.json",Entra ID > PIM > Azure AD roles > Assignments > Make eligible,4,Standing privilege means compromise equals instant admin.
cis_1_15,Revoke high-risk Graph application permissions from App Registrations,"# removal; using azuread_application_api_access","az ad app permission delete --id <app-id> --api 00000003-0000-0000-c000-000000000000 --api-permissions <perm-id>=Role",Entra ID > App registrations > API permissions > Remove,2,Over-privileged apps enable tenant-wide persistence via OAuth.
